2;0302;"Avfall fra treimpregnering";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030201;"Ikke-halogenerte organiske treimpregneringsmidler";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030202;"Klororganiske treimpregneringsmidler";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030203;"Metallorganiske treimpregneringsmidler";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030204;"Uorganiske treimpregneringsmidler";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030205;"Andre treimpregneringsmidler som inneholder farlige stoffer";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030299;"Treimpregneringsmidler som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0303;"Avfall fra produksjon og bearbeiding av papir, papp/kartong og papirmasse";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030301;"Bark- og treavfall";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030302;"Grønnlutslam (fra gjenvinning av kokevæske)";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030303;"Utgått: §4.2)Blekeslam fra hypokloritt- og klorprosesser";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030304;"Utgått: §4.2)Blekeslam fra andre blekeprosesser";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030305;"Avsvertingsslam fra gjenvinning av papir";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030306;"Utgått: §4.2)Papir- og fiberslam";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030307;"Mekanisk separerte rester fra oppmaling av papir- og papp-/kartongavfall";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030308;"Avfall fra sortering av papir og papp/kartong til gjenvinning";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030309;"Avfall av kalkslam";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030310;"Fiberavfall, fiberslam og slam av fyllstoff og bestrykningsmaterialer fra mekanisk separering";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030311;"Annet slam fra behandling av avløpsvann på produksjonsstedet enn det nevnt i 03 03 10";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030399;"Avfall som ikke er spesifisert andre steder ";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
1;04;"Avfall fra lærvare-, pelsverk- og tekstilindustrien";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0401;"Avfall fra lærvare- og pelsverkindustrien";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040101;"Avfall fra skaving og spalting";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040102;"Avfall fra kalkluting";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040103;"Avfettingsavfall som inneholder løsemidler uten flytende fase";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040104;"Kromholdig garvevæske";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040105;"Ikke-kromholdig garvevæske";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040106;"Kromholdig slam, særlig fra behandling av avløpsvann på produksjonsstedet";Ja;Nei
